gene,importance,importance_std,rank
GAPDH,456.8006903330485,54.55596961511389,1
IFI6,254.57922808329263,48.10665911668648,2
ANXA5,223.52708927790323,96.22582646992355,3
STAT1,158.8562773068746,38.78976425900297,4
PSME2,149.76521905263266,66.01888832164195,5
LGALS1,126.15424998601277,25.298905701065948,6
CCL4L1,121.60523732503255,47.86882914065893,7
GBP5,118.26270659764607,44.521751064269054,8
CD38,110.00390712420146,36.372258243133906,9
EPSTI1,109.19199434916179,19.19687662860636,10
MTRNR2L8,108.11939422289531,19.620936092561692,11
RPL9P9,99.07433104515076,21.14142428385253,12
CCR7,90.34667599201202,51.47171193205601,13
ANXA2,87.8271758556366,47.5718992690401,14
RPL9P8,82.75106279055278,18.07875130618627,15
MALAT1,82.6285730600357,34.94877441102066,16
TMSB10,82.12349653244019,20.683890511897502,17
HLA-B,79.96759573618571,11.115360119221133,18
LILRB4,79.24173855781555,30.139720541781763,19
IFI44L,78.8844317595164,15.144038507368629,20
GBP2,77.02573013305664,34.982320912028015,21
CCL3,72.96694858868916,26.75217498755714,22
MT2A,70.34866176048915,52.21379093304289,23
S100A11,66.99668715397517,73.31423164025888,24
XAF1,62.931705395380654,48.94773355778548,25
CTB-36O1.7,60.300920724868774,12.248811179993037,26
GZMB,58.65919768810272,37.725178156413364,27
SLAMF7,58.30570020278295,86.97920239521424,28
RP4-765C7.2,56.08015791575114,8.319166199058682,29
WARS,54.615325490633644,37.832678256972706,30
RPL10P3,54.43053952852885,11.594246133045507,31
ISG15,53.51305902004242,20.09636882366202,32
HLA-DPA1,53.48463443915049,20.84888053344647,33
RPS14,53.20227722326914,9.560462531561827,34
RP11-138I1.4,53.18909211953481,14.787001770301337,35
IFITM2,51.86856333414713,8.247065791110408,36
GZMH,51.207594176133476,33.827240788383804,37
LY6E,50.925185879071556,40.218537988657815,38
BHLHE40,50.08266878128052,16.53722002356831,39
PRDM1,49.83349092801412,19.91553295223116,40
FCGR3A,49.03207918008169,20.954320338342782,41
MTRNR2L2,48.642430226008095,7.928721250457488,42
FCER1G,46.85145175457001,40.313175570543905,43
CREM,46.60618007183075,16.915789171467807,44
HLA-DRB5,46.49023048082987,5.38076084348474,45
MIR24-2,45.86134807268778,31.99554427333246,46
CCL4,45.61122143268585,31.749017754881006,47
SERPINB1,45.45907751719157,22.80306774804725,48
HCG4P5,44.500707149505615,3.6743802233102865,49
HLA-C,44.44355062643687,6.64180740313689,50
FTL,44.306433180967964,53.09990856292168,51
MTRNR2L1,43.9938755830129,4.564539276606877,52
B2M,43.722624023755394,8.071114167021753,53
TGFBI,42.953909476598106,53.30242007651203,54
UBB,42.39167873064677,13.93198497086697,55
TCP1,42.230802734692894,10.811247948906455,56
TNFAIP3,39.725167751312256,9.526482337449579,57
TYROBP,39.00092697143555,48.43641661719454,58
MTND2P28,38.92021564642588,3.8138415875731195,59
CXCR4,38.56088145573934,14.930803359443349,60
NR4A2,38.48343141873678,12.549255075297225,61
YPEL5,38.045719941457115,10.155631096408507,62
CCL4L2,37.85710459947586,34.4429467407563,63
NKG7,37.70435484250387,31.74306616703681,64
HLA-DRB6,37.54938062032064,6.990713876501884,65
XIST,37.10161225001017,5.099289571011703,66
HLA-DQA2,36.694918513298035,5.203117623529013,67
RP11-815N9.2,36.01218624909719,5.800283663570117,68
SAT1,36.00775384902954,8.34997394616105,69
HLA-DRA,35.719952672719955,29.47082562088379,70
MTND4P12,35.381644447644554,9.417893161665415,71
BAG3,34.475905974706016,7.779374695140306,72
HLA-L,34.33763349056244,10.191749522556183,73
FOSL2,34.237563947836556,17.041450829440716,74
PRF1,33.959023197491966,16.952207783650238,75
HSPA1A,33.45503584543864,6.646125419155892,76
HSPH1,33.43738400936127,15.312456331078446,77
RPS3,33.397104720274605,8.095205744021177,78
HLA-H,33.39595488707224,3.819545359062396,79
GBP4,33.264980256557465,10.375872204700245,80
NPIPB5,33.225976745287575,8.736809089200907,81
HLA-DPB1,33.21077676614126,10.987291237167893,82
PTGER2,33.09857145945231,3.434769250592122,83
ENTPD1,32.68741321563721,11.87779603072079,84
RPS26,32.621874729792275,8.23574160810387,85
RPS4XP22,32.06836477915446,6.915302554143067,86
HSPA1B,31.330254356066387,5.69557261165572,87
HLA-DPB2,31.181052664915722,14.255247320214748,88
HLA-DRB1,31.16175337632497,11.088255366888735,89
TPT1,30.925403157869976,4.771088146940695,90
HSP90AA1,30.922886431217194,9.669314750149075,91
REXO1L1,30.594712297121685,4.543680917048354,92
HLA-J,30.565959453582764,3.5754193256877174,93
SERPINB9,30.502528031667072,9.122063159042757,94
MTRNR2L12,30.08417574564616,3.9914270676866024,95
CXCR5,30.028861343860626,17.78945609995415,96
APOBEC3C,29.868044356505077,7.639344563206706,97
PARP9,29.57451804478963,18.255112791260675,98
RPL9P7,29.44075874487559,9.02589992324667,99
RPL13P12,29.3266597588857,6.9059565768200715,100
RPL9,29.204638242721558,3.7253261039929777,101
REXO1L10P,29.050476392110188,5.515389575215038,102
TSPYL2,29.019777317841847,11.668556332616642,103
CTSB,28.846903949975967,17.596527679308306,104
HLA-U,28.556150436401367,4.607622205345513,105
RP5-857K21.11,28.259969512621563,5.278580928077513,106
ATF3,28.217612703641255,17.328938601971252,107
MIR4461,28.211563607056934,7.683274520774975,108
MTND5P11,28.163824478785198,4.663192636872775,109
PIP4K2A,27.69885226090749,5.433015821128318,110
CCL3L1,27.64018241564433,6.442546068145248,111
TMSB4X,27.419369955857594,11.268487201978001,112
KLF6,27.161794821421307,3.822091173407102,113
IFITM3,27.05422220627467,28.018013324326663,114
PSME2P2,26.96764240662257,44.35186560476273,115
RPL15P3,26.50838828086853,6.864998471044256,116
TTN,26.390920599301655,3.5776299721696825,117
IFITM1,26.208016594250996,11.971368301301924,118
RP11-330M2.4,26.104687174161274,13.026638679501284,119
UBE2L6,25.763173073530197,32.68178881669631,120
RP11-159J3.1,25.615881025791168,13.327758273441574,121
RGPD5,25.514310240745544,3.7042581228081226,122
GNA15,25.41926105817159,16.535887129104285,123
RP11-320M16.1,25.27992018063863,5.608552165380298,124
USP18,25.199552337328594,7.374295069647351,125
HSP90AB1,25.198084851106007,9.411447814177182,126
RP11-572P18.1,25.103607793649036,14.050574799104583,127
AQP9,25.015511473019917,6.697034114640794,128
CCL5,24.906707266966503,11.40339088653938,129
HSPB1,24.85085807243983,13.298414416312957,130
hsa-mir-6723,24.728321532408398,6.005777225243634,131
ACTBP12,24.609405318895977,8.232249814062067,132
FOS,24.15071992079417,16.55471297410957,133
DDX5,24.016609688599903,10.371871924286788,134
HLA-W,23.71907039483388,3.708846214423291,135
GSTO1,23.654070556163788,22.554565611134603,136
LINC00152,23.650792509317398,33.050977345202966,137
RP11-742N3.1,23.633441825707752,4.286343793573223,138
PAN3,23.34735945860545,12.794625499322583,139
RGS1,23.319215059280396,9.935032626534634,140
RPL35P5,23.104819019635517,8.333047478382262,141
HLA-G,23.05100816488266,4.754020351391765,142
C1orf56,22.84720007578532,3.330098707116618,143
FTH1,22.765206933021545,14.877155631843504,144
TSC22D3,22.759379903475445,5.74706608551195,145
C1orf63,22.56335597236951,10.15203166467758,146
EEF1A1,22.47542494535446,30.83160269994958,147
STOM,22.423685630162556,21.322778366564144,148
S100A6,22.234333554903667,31.86939502304604,149
TYMP,22.023699561754864,21.133390345142836,150
RPL35A,21.88895618915558,5.444293713562287,151
OASL,21.866069396336872,25.61387843480609,152
DOCK8,21.791994869709015,3.1018315958175053,153
FCGR3B,21.786526262760162,13.364437510393607,154
CD79A,21.431856632232666,21.81402965969604,155
RPL3,21.303309599558514,21.374781320476117,156
PCNXL2,21.224065085252125,2.8127230346240943,157
UBC,20.942286531130474,5.331984151927728,158
RBMX,20.556594371795654,10.262723502763457,159
RP11-274E7.2,20.539203703403473,27.19984617450876,160
VCAM1,20.5173423687617,14.143510203425123,161
AC010970.2,20.43915871779124,3.192153123551847,162
CTC-575D19.1,19.98995280265808,4.564604775861245,163
SLC38A1,19.966552754243214,8.152316264931036,164
TXN,19.655863563219707,16.303032510873162,165
MIR155HG,19.466110448042553,14.730765194621089,166
RN7SK,19.458085874716442,10.393443335509284,167
ZFP36L2,19.438234825929005,11.03023666530206,168
CD79B,19.39096575975418,6.3375862961191896,169
CST3,19.035323917865753,45.3979818082434,170
RPL3P2,18.76078196366628,18.32341044730391,171
CST7,18.300877630710602,25.269552680845774,172
EEF1A1P5,18.19322230418523,10.606146630153605,173
PSME1,17.87504192193349,9.216621276059497,174
DNAJA1,17.510398109753925,15.963923325979744,175
RASGEF1B,17.311000446478527,9.920660119873778,176
NPIPB3,17.188831835985184,12.141533090716054,177
KMT2E,17.174205640951794,7.742394117148554,178
RP1-283E3.4,17.16281435887019,7.639116785549671,179
MTATP6P1,17.031101485093433,11.396222035335734,180
FOSB,16.99346415201823,7.73896900576519,181
HSP90AA6P,16.966954708099365,10.983013017979317,182
RPS4X,16.822838524977367,5.813084675285435,183
RPSAP53,16.79721204439799,8.95600537935231,184
NR4A1,16.628464778264362,9.346137300080395,185
REL,16.598119894663494,13.162381041800973,186
RPS3AP6,16.478499233722687,20.293399329131034,187
DDX3Y,16.462461317578953,10.775217979754723,188
VIM,16.22012134393056,15.915258254534159,189
MRC1L1,16.00151429573695,10.713902371519648,190
HIST2H2AA4,15.980301876862844,9.111145932516127,191
GNLY,15.643123050530752,11.391328477394039,192
RPS2P5,15.594248841206232,14.399376807113,193
HLA-DQB2,15.362357040246328,9.313673173319126,194
TXNIP,15.340691904226938,9.17504115272385,195
RPS15A,14.711819152037302,10.288831314443263,196
RP11-632C17__A.1,14.597423255443573,14.528619384221361,197
TMEM66,14.591388314962387,17.46819353929516,198
PTPRC,14.56499594449997,12.216199132544622,199
CDC42SE2,14.486739019552866,9.28659305852488,200
HSPA8,14.467025140921274,10.400991380609081,201
TRBV20-1,14.376181960105896,7.275985158352442,202
SRGN,14.19243930776914,10.487518261251939,203
RPS4Y1,14.094752987225851,10.95254099767985,204
GBP1,14.049176514148712,34.57691854156068,205
ANXA1,13.99803406993548,18.04544657021051,206
