gene,importance,importance_std,rank,in_top_50,in_top_100,in_top_250,signature_position
GAPDH,456.8006903330485,54.55596961511389,1,True,True,True,1
IFI6,254.57922808329263,48.10665911668648,2,True,True,True,8
STAT1,158.8562773068746,38.78976425900297,4,True,True,True,5
LGALS1,126.15424998601277,25.298905701065948,6,True,True,True,7
GBP5,118.26270659764607,44.521751064269054,8,True,True,True,11
CD38,110.00390712420146,36.372258243133906,9,True,True,True,2
EPSTI1,109.19199434916179,19.19687662860636,10,True,True,True,9
CCR7,90.34667599201202,51.47171193205601,13,True,True,True,3
GZMH,51.207594176133476,33.827240788383804,37,True,True,True,6
HLA-DRB5,46.49023048082987,5.38076084348474,45,True,True,True,4
HLA-G,23.05100816488266,4.754020351391765,142,False,False,True,10
